artist,genre,pronoun,artistUrl,songUrl,alias1,alias2
Risa Taniguchi,techno,she,https://soundcloud.com/risataniguchi,https://soundcloud.com/risataniguchi/calling-you-1,,
rkss,expirimental ,she,https://soundcloud.com/rkss,https://www.youtube.com/watch?v=TW-Ggl2yLzI,,
Rose Bonica,techno,she,https://soundcloud.com/rosebonica,https://soundcloud.com/wetdreamsrecordings/i-was-trying-to-be-sincere?in=rosebonica/sets/rosy-disposition-ep,,
Roundhouse Kick,techno,"group - she, he",https://soundcloud.com/roundhouse-kick,https://soundcloud.com/discosparaiso/b1-roundhouse-kick-acid-life-1, RHK,
Roza Terenzi,left field,she,https://soundcloud.com/roza-terenzi,https://www.youtube.com/watch?v=P7SZ5NOyNPE,,
rRoxymore,left field,she,https://soundcloud.com/rroxymore,https://www.youtube.com/watch?v=KVoq1wyAJiU,,
Rui Ho/DJ Ruan,expirimental ,she,https://soundcloud.com/ruiho,https://ruiho.bandcamp.com/track/acceleration,,
Russel EL Butler,left field,they,https://soundcloud.com/russellelbutler,https://www.youtube.com/watch?v=nCoHEkyKNoA,,
S Ruston,techno,she,https://soundcloud.com/s_ruston,https://soundcloud.com/houndstoothlbl/02-broken?in=s_ruston/sets/s-ruston-production-vocals, Ghettozoid,
saaaz,hip hop,she,https://soundcloud.com/saaazuk,https://soundcloud.com/illegaldata/saaaz-affectionate,,
Sairé,techno,she,https://soundcloud.com/sairesaire,https://soundcloud.com/sairesaire/inteja1,,
Salamanda,ambient,"group - she, she",https://soundcloud.com/8salamanda8,https://soundcloud.com/8salamanda8/salamanda-let-it-rain,,
Sam Soleil ,house,she,https://soundcloud.com/samsoleil,https://soundcloud.com/hivemindco/back-to-me-sam-soleil,,
Samantha Togni,techno,she,https://soundcloud.com/samanthatogni,https://soundcloud.com/motztechno/premiere-samantha-togni-whisperers-neri-j-remix,,
Sandile,house,she,https://soundcloud.com/sandile_official,https://soundcloud.com/sandile_official/stronger-than-ive-ever-been,,
Sandra Mosh,techno,she,https://soundcloud.com/sandra-mosh,https://www.youtube.com/watch?v=OM5zaumE170,,
Sapphire Slows,house,she,https://soundcloud.com/sapphire-slows,https://www.youtube.com/watch?v=KfPwiTxyBYM,,
Sarah Bates,ambient,she,https://soundcloud.com/sarahbates,https://soundcloud.com/sarahbates/caravan-girls,,
Sassy 009,house,she,https://soundcloud.com/sassy009,https://soundcloud.com/sassy009/maybe-in-the-summer, Susy Summer,
Scam,left field,they,https://soundcloud.com/scamscamscam,https://soundcloud.com/decisionsrecords/scam-host, K-Trax,
scapa,left field,she ,https://soundcloud.com/scapaxo,https://soundcloud.com/peachyuk/scapa-i-deserve-nice-things-forthcoming-on-peachy-sounds,,
Scintii,expirimental ,she,https://soundcloud.com/scintii,https://soundcloud.com/houndstoothlbl/scintii-times-new-roman-ep?in=houndstoothlbl/sets/scintii-times-new-roman-2nd,,
Sentimental Rave,techno,she,https://soundcloud.com/sentimentalrave,https://soundcloud.com/sentimentalrave/fuck-you-all,,
Serena Butler,techno,they,https://soundcloud.com/serena-butler-717672730,https://www.youtube.com/watch?v=wT6_szCpS2o,,
SFire,house,"group - she, he",https://soundcloud.com/jeffreysfire,https://soundcloud.com/ultramajic/sfire-sfire6,,
Sha Sha Kimbo,house,she,https://soundcloud.com/shashakimbo,https://soundcloud.com/shashakimbo/sha-sha-kimbo-gotta-have-you-1?in=shashakimbo/sets/singles-remixes,,
Shanti Celeste,house,she,https://soundcloud.com/shanticeleste,https://www.youtube.com/watch?v=RZlS5HPSs_k,,
Shauna,house,she,https://soundcloud.com/shaunastapleton,https://soundcloud.com/shaunastapleton/you,,
Shida Shahabi,ambient,she,https://soundcloud.com/shida-shahabi,https://www.youtube.com/watch?v=gFmvGg9v9H8,,
Shinedoe,techno,she,https://soundcloud.com/shinedoe,https://soundcloud.com/dial-rec/dial76-1?in=shinedoe/sets/shinedoes-tracks,,
Shubostar,house,she,https://soundcloud.com/shubostar,https://soundcloud.com/sinchicollective/premiere-shubostar-galaxy-express?in=shubostar/sets/original,,
Sign Libra,left field,she,https://soundcloud.com/signlibrachannel,https://soundcloud.com/igetrvng/sign-libra-sea-of-nectar,,
Silvia Kastel,expirimental ,she,https://soundcloud.com/silviakastel,https://www.youtube.com/watch?v=Ax8TsNRg5HI,,
Sky H1,ambient,she,https://soundcloud.com/sky_h1,https://soundcloud.com/pan_hq/13-sky-h1-huit-pan-77,,
Smerz,house,"group - she, she",https://soundcloud.com/smerzno,https://www.youtube.com/watch?v=MWbD1pby33g,,
Soela,house,she,https://soundcloud.com/soelaela,https://soundcloud.com/djmag/premiere-soela-sensual,,
Sofia Kourtesis,left field,she,https://soundcloud.com/sofia-kourtesis,https://www.youtube.com/watch?v=hK60uL8UGGs,,
softcoresoft,acid,she,https://soundcloud.com/softcoresoft,https://soundcloud.com/djmages/premiere-softcoresoft-social-compost-lobster-theremin-black-ltblk012?in=softcoresoft/sets/a-selection-of-tacks,,
sohotsospicy,left field,she,https://soundcloud.com/sohotsospicy,https://soundcloud.com/djmag/premiere-sodarksospicy-glorified,,
Soldal,left field,she,https://soundcloud.com/soldal,https://soundcloud.com/handlethesound/4-soldal-circuit-900-away-master?in=soldal/sets/soldal-refix,,
Solid Blake,techno,she,https://soundcloud.com/solid_blake,https://soundcloud.com/solid_blake/warp-room,,
Sonia Calico,left field,she,https://soundcloud.com/soniacalico,https://www.youtube.com/watch?v=4NI39D6UBOI,,
Sonja Moonear,house,she,https://soundcloud.com/moonear,https://www.youtube.com/watch?v=YT4U6oytrj8,,
Sophia Saze,techno,she,https://soundcloud.com/sophiasaze,https://soundcloud.com/duskandhaze/sophia-saze-shed?in=duskandhaze/sets/dh001-sophia-saze-solace,,
Sophia Zhuravkova,ambient,she,https://soundcloud.com/zhuravkovasophia,https://soundcloud.com/besteffort/sophia-zhuravkova-interior-music-004,,
Sophia Zhurevkova,ambient,she,https://soundcloud.com/zhuravkovasophia,https://soundcloud.com/infinitoaudiolabel/sophia-zhuravkova-transparent-infinito-audio-046,,
SOPHIE,left field,she,https://soundcloud.com/msmsmsm,https://soundcloud.com/msmsmsm/sophie-lemonade,,
Soramimi,left field,she,https://soundcloud.com/soramimi,https://www.youtube.com/watch?v=5yvC55_oEdM,,
Soraya,house,she,https://soundcloud.com/dana-chicago,https://soundcloud.com/dana-chicago/life-beneath-the-frozen-sky, DANA, دانا
SOS Gunver Ryberg,ambient,she,https://soundcloud.com/soesgunverryberg,https://www.youtube.com/watch?v=-8_0_Bchn6M,,
Souci,techno,she,https://soundcloud.com/soucidj,https://soundcloud.com/raiders_records/04-souci-reclaiming-bad-bitch?in=raiders_records/sets/queens-of-club-night-shift-1,,
Squaring Circles,jazz,"group - she, he",https://soundcloud.com/squaringcircles,https://soundcloud.com/squaringcircles/anergyne-1,,
stacy sexton,house,she,https://soundcloud.com/staceysextonmusic,https://soundcloud.com/clipp_art/stacey-sexton-dante-clipp064?in=staceysextonmusic/sets/original-releases,,
Star Eyes,techno,she,https://soundcloud.com/stareyes,https://soundcloud.com/stareyes/star-eyes-lightsaber,,
